pair,speaker,crit_half,crit_order_bin,condition,prop_size_adj_use,num_trials,num_NA
25,50,firsthalf,1,One Contrast Privileged,0.6666666666666666,3,0
25,50,firsthalf,1,Two Contrasts Shared,1,7,0
25,50,firsthalf,2,No Contrast,0,4,0
25,50,firsthalf,2,One Contrast Privileged,1,4,0
25,50,firsthalf,2,Two Contrasts Shared,1,8,0
25,50,secondhalf,3,No Contrast,0,4,0
25,50,secondhalf,3,One Contrast Privileged,1,4,0
25,50,secondhalf,3,Two Contrasts Shared,1,8,0
25,50,secondhalf,4,No Contrast,0,5,0
25,50,secondhalf,4,One Contrast Privileged,1,5,0
25,50,secondhalf,4,Two Contrasts Shared,1,9,0
27,53,firsthalf,1,No Contrast,0,3,0
27,53,firsthalf,1,One Contrast Privileged,0.6666666666666666,3,0
27,53,firsthalf,1,Two Contrasts Shared,1,7,0
27,53,firsthalf,2,No Contrast,0,4,0
27,53,firsthalf,2,One Contrast Privileged,1,4,0
27,53,firsthalf,2,Two Contrasts Shared,1,8,0
27,53,secondhalf,3,No Contrast,0.25,4,0
27,53,secondhalf,3,One Contrast Privileged,0.75,4,0
27,53,secondhalf,3,Two Contrasts Shared,1,8,0
27,53,secondhalf,4,No Contrast,0,5,0
